Estimand,Source,Variant,Outcome (numerator),Denominator / offset,Panel,Activity,Code position,Covariates,Years,n (obs.),APC % (95% CI),p value (Wald),Dispersion (Pearson χ²/df),Durbin–Watson,Model family,Note
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Fixed panel of 65 hospitals,All activity,Any position,Hospital fixed effects + 2020–2021 indicator,2019–2024,390,33.4 (31.1 to 35.7),< 0.001,3.61,1.22,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Fixed panel of 65 hospitals,All activity,Any position,Hospital random intercept,2019–2024,390,35.9 (34.9 to 37.0),< 0.001,3.23,1.19,Poisson random intercept (Laplace/MAP),"Poisson random intercept with offset (PoissonBayesMixedGLM subclass); converged. Priors: fixed effects N(0, 10²); log-SD of intercept N(0, 1); offset centred on the pooled rate. Poisson likelihood without a dispersion parameter: narrower CI than quasi-Poisson; the dispersion shown is the Pearson χ² conditional on the random effects (MAP) / (n − p − 1), diagnostic only; read as sensitivity. Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545."
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Fixed panel of 65 hospitals,All activity,Any position,Hospital fixed effects,2021–2024,260,39.9 (37.1 to 42.7),< 0.001,2.38,1.56,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Fixed panel of 65 hospitals,All activity,Any position,Hospital fixed effects,2021–2024,260,39.9 (35.1 to 44.8),< 0.001,2.38,1.56,"Quasi-Poisson, fixed effects, hospital-clustered SE",Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. Hospital-clustered robust SE.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Fixed panel of 65 hospitals,All activity,Any position,Hospital fixed effects + hospital-year coding depth,2021–2024,260,39.2 (36.1 to 42.4),< 0.001,2.38,1.57,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity).
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2019–2024,6,35.8 (21.8 to 51.5),< 0.001,135.82,1.68,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2019–2024,102,37.5 (33.6 to 41.5),< 0.001,9.36,1.64,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2021–2024,4,45.3 (35.0 to 56.3),< 0.001,23.22,2.19,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2021–2024,68,47.1 (42.3 to 52.0),< 0.001,4.64,1.74,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2019–2024,6,53.2 (34.1 to 75.2),< 0.001,71.65,1.33,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2019–2024,102,54.9 (48.3 to 61.8),< 0.001,7.68,1.18,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2021–2024,4,70.3 (55.7 to 86.4),< 0.001,13.27,2.75,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2021–2024,68,72.2 (63.8 to 81.0),< 0.001,4.05,1.53,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2019–2024,6,40.4 (25.1 to 57.5),< 0.001,205.55,1.55,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2019–2024,102,42.1 (37.9 to 46.4),< 0.001,13.79,1.52,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2021–2024,4,52.0 (41.3 to 63.6),< 0.001,32.17,2.37,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2021–2024,68,53.8 (49.0 to 58.8),< 0.001,5.98,1.74,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2019–2024,6,11.9 (1.5 to 23.4),0.024,8.50,1.88,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2019–2024,102,13.0 (8.2 to 18.1),< 0.001,1.72,2.04,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2021–2024,4,17.5 (4.2 to 32.3),0.008,4.05,2.01,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2021–2024,68,18.4 (9.5 to 28.1),< 0.001,1.76,2.15,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2019–2024,6,34.2 (21.4 to 48.3),< 0.001,2.63,1.59,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2019–2024,102,35.4 (27.3 to 44.1),< 0.001,1.01,1.67,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2021–2024,4,45.1 (27.1 to 65.6),< 0.001,1.69,1.95,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2021–2024,68,46.4 (31.7 to 62.8),< 0.001,1.09,1.65,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2019–2024,6,16.9 (5.9 to 28.9),0.002,11.24,1.77,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2019–2024,102,18.1 (13.4 to 22.9),< 0.001,1.85,1.95,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2021–2024,4,24.2 (10.5 to 39.5),< 0.001,5.21,2.00,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2021–2024,68,25.3 (16.4 to 34.8),< 0.001,2.06,1.93,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2019–2024,6,43.9 (31.5 to 57.6),< 0.001,70.12,1.97,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2019–2024,102,45.7 (42.0 to 49.6),< 0.001,5.86,1.88,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2021–2024,4,48.5 (36.3 to 61.9),< 0.001,26.25,2.34,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2021–2024,68,50.4 (45.1 to 55.8),< 0.001,4.46,1.79,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2019–2024,6,63.7 (47.3 to 81.9),< 0.001,31.14,1.66,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2019–2024,102,65.4 (58.7 to 72.5),< 0.001,4.92,1.37,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2021–2024,4,73.2 (56.7 to 91.3),< 0.001,12.79,2.70,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2021–2024,68,75.0 (65.6 to 85.0),< 0.001,3.93,1.47,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2019–2024,6,48.9 (35.5 to 63.6),< 0.001,100.81,1.87,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2019–2024,102,50.7 (46.6 to 54.9),< 0.001,8.49,1.73,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2021–2024,4,55.0 (42.1 to 69.0),< 0.001,36.14,2.46,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2021–2024,68,56.9 (51.3 to 62.6),< 0.001,6.32,1.72,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2019–2024,6,11.8 (3.2 to 21.1),0.006,4.01,1.91,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2019–2024,102,12.9 (8.0 to 18.1),< 0.001,1.25,2.05,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2021–2024,4,15.8 (4.7 to 28.0),0.004,2.03,2.00,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2021–2024,68,16.8 (8.0 to 26.3),< 0.001,1.23,2.24,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2019–2024,6,39.7 (29.6 to 50.5),< 0.001,0.99,1.41,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2019–2024,102,40.9 (31.5 to 50.9),< 0.001,0.84,1.84,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2021–2024,4,48.8 (39.1 to 59.3),< 0.001,0.31,1.96,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
