File identifier,Kind,Label in the documents,Where it is used,File,Title,Associated data file,Current use
M3_rem_code_sets,Additional supplementary table,Table S5,supplementary table,sin_rett/en/extra/tables/M3_rem_code_sets.csv,"REM code sets by module and definition era, verified against the annual dictionary",M3_rem_code_sets_numeric.csv,prose_methods_extended.py
M4_denominator_layers,Additional supplementary table,Table S6,supplementary table,sin_rett/en/extra/tables/M4_denominator_layers.csv,Denominator layers and compatibility rules,M4_denominator_layers_numeric.csv,prose_methods_extended.py
M5_estimator_map,Additional supplementary table,Table S7,supplementary table,sin_rett/en/extra/tables/M5_estimator_map.csv,"Estimator map: equation, script and output file",M5_estimator_map_numeric.csv,prose_methods_extended.py
M6_sensitivity_grid,Additional supplementary table,Table S8,supplementary table,sin_rett/en/extra/tables/M6_sensitivity_grid.csv,Grid of pre-specified sensitivity analyses,M6_sensitivity_grid_numeric.csv,prose_methods_extended.py
M7_data_states,Additional supplementary table,Table S9,supplementary table,sin_rett/en/extra/tables/M7_data_states.csv,"Data states: zero, missing, not reported, not estimable and suppressed",M7_data_states_numeric.csv,prose_methods_extended.py
M8_pipeline_map,Additional supplementary table,Table S10,supplementary table,sin_rett/en/extra/tables/M8_pipeline_map.csv,File-by-file map of the pipeline and its outputs,M8_pipeline_map_numeric.csv,prose_methods_extended.py
M9_software_seeds,Additional supplementary table,Table S11,supplementary table,sin_rett/en/extra/tables/M9_software_seeds.csv,"Software, versions, seeds and constants of the run",M9_software_seeds_numeric.csv,prose_methods_extended.py
T_dataflow_counts,Additional supplementary table,Table S2,supplementary table,sin_rett/en/extra/tables/T_dataflow_counts.csv,"Counts behind Figure 1, with the unit of analysis and the origin of each — F84 family excluding Rett syndrome",T_dataflow_counts_numeric.csv,08d_figure_dataflow.py|10_manuscript.py|17_extended_material.py|prose_es.py|prose_en.py
eq_01_crude_a,Equation (PNG),Equation 1 (a),numbered equation of the extended methodology,equations/eq_01_crude_a.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_01_crude_b,Equation (PNG),Equation 1 (b),numbered equation of the extended methodology,equations/eq_01_crude_b.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_02_age_specific,Equation (PNG),Equation 2,numbered equation of the extended methodology,equations/eq_02_age_specific.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_03_dsr,Equation (PNG),Equation 3,numbered equation of the extended methodology,equations/eq_03_dsr.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_04_dsr_var,Equation (PNG),Equation 4,numbered equation of the extended methodology,equations/eq_04_dsr_var.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_05_ff_a,Equation (PNG),Equation 5 (a),numbered equation of the extended methodology,equations/eq_05_ff_a.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_05_ff_b,Equation (PNG),Equation 5 (b),numbered equation of the extended methodology,equations/eq_05_ff_b.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_06_rr,Equation (PNG),Equation 6,numbered equation of the extended methodology,equations/eq_06_rr.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_07_count_ratio_a,Equation (PNG),Equation 7 (a),numbered equation of the extended methodology,equations/eq_07_count_ratio_a.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_07_count_ratio_b,Equation (PNG),Equation 7 (b),numbered equation of the extended methodology,equations/eq_07_count_ratio_b.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_08_expected_a,Equation (PNG),Equation 8 (a),numbered equation of the extended methodology,equations/eq_08_expected_a.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_08_expected_b,Equation (PNG),Equation 8 (b),numbered equation of the extended methodology,equations/eq_08_expected_b.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_09_byar,Equation (PNG),Equation 9,numbered equation of the extended methodology,equations/eq_09_byar.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_10_eb,Equation (PNG),Equation 10,numbered equation of the extended methodology,equations/eq_10_eb.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_11_eb_prior,Equation (PNG),Equation 11,numbered equation of the extended methodology,equations/eq_11_eb_prior.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_12_qpois,Equation (PNG),Equation 12,numbered equation of the extended methodology,equations/eq_12_qpois.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_13_apc,Equation (PNG),Equation 13,numbered equation of the extended methodology,equations/eq_13_apc.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_14_fe_a,Equation (PNG),Equation 14 (a),numbered equation of the extended methodology,equations/eq_14_fe_a.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_14_fe_b,Equation (PNG),Equation 14 (b),numbered equation of the extended methodology,equations/eq_14_fe_b.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_15_ri_a,Equation (PNG),Equation 15 (a),numbered equation of the extended methodology,equations/eq_15_ri_a.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_15_ri_b,Equation (PNG),Equation 15 (b),numbered equation of the extended methodology,equations/eq_15_ri_b.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_16_dw,Equation (PNG),Equation 16,numbered equation of the extended methodology,equations/eq_16_dw.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_17_wilson,Equation (PNG),Equation 17,numbered equation of the extended methodology,equations/eq_17_wilson.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_18_jeffreys,Equation (PNG),Equation 18,numbered equation of the extended methodology,equations/eq_18_jeffreys.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_19_season,Equation (PNG),Equation 19,numbered equation of the extended methodology,equations/eq_19_season.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_20_index_number,Equation (PNG),Equation 20,numbered equation of the extended methodology,equations/eq_20_index_number.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_21_spearman,Equation (PNG),Equation 21,numbered equation of the extended methodology,equations/eq_21_spearman.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_22_kappa,Equation (PNG),Equation 22,numbered equation of the extended methodology,equations/eq_22_kappa.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_23_taylor_a,Equation (PNG),Equation 23 (a),numbered equation of the extended methodology,equations/eq_23_taylor_a.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_23_taylor_b,Equation (PNG),Equation 23 (b),numbered equation of the extended methodology,equations/eq_23_taylor_b.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_23_taylor_c,Equation (PNG),Equation 23 (c),numbered equation of the extended methodology,equations/eq_23_taylor_c.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_24_deff,Equation (PNG),Equation 24,numbered equation of the extended methodology,equations/eq_24_deff.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_25_moran_a,Equation (PNG),Equation 25 (a),numbered equation of the extended methodology,equations/eq_25_moran_a.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_25_moran_b,Equation (PNG),Equation 25 (b),numbered equation of the extended methodology,equations/eq_25_moran_b.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_26_moran_biv,Equation (PNG),Equation 26,numbered equation of the extended methodology,equations/eq_26_moran_biv.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_27_lisa,Equation (PNG),Equation 27,numbered equation of the extended methodology,equations/eq_27_lisa.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_28_bh,Equation (PNG),Equation 28,numbered equation of the extended methodology,equations/eq_28_bh.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_29_gistar,Equation (PNG),Equation 29,numbered equation of the extended methodology,equations/eq_29_gistar.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_30_lorenz,Equation (PNG),Equation 30,numbered equation of the extended methodology,equations/eq_30_lorenz.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_31_gini,Equation (PNG),Equation 31,numbered equation of the extended methodology,equations/eq_31_gini.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_32_theil_a,Equation (PNG),Equation 32 (a),numbered equation of the extended methodology,equations/eq_32_theil_a.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_32_theil_b,Equation (PNG),Equation 32 (b),numbered equation of the extended methodology,equations/eq_32_theil_b.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_33_suppression_a,Equation (PNG),Equation 33 (a),numbered equation of the extended methodology,equations/eq_33_suppression_a.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
eq_33_suppression_b,Equation (PNG),Equation 33 (b),numbered equation of the extended methodology,equations/eq_33_suppression_b.png,n/e,n/e,not cited by any manuscript script (supplementary registry only)
